id,name,image_name
1,Любой,mock
2,Сингл молты,mock
3,Домашние настойки,mock
4,Вермуты,mock
5,Ликеры и биттеры,mock
6,Вина,mock
7,Пиво и сидр,mock
8,Ароматические горечи,mock
9,Сиропы,mock
10,Домашние сиропы,mock
11,Соки,mock
12,Вода и напитки,mock
13,Чай и кофе,mock
14,Настои и растворы,mock
15,Молочные продукты и яйца,mock
16,Морепродукты,mock
17,Пюре,mock
18,Фрукты,mock
19,Ягоды,mock
20,Овощи,mock
21,Растения,mock
22,Мёд и джемы,mock
23,Соусы и масло,mock
24,Специи и пряности,mock
25,Орехи и сухофрукты,mock
26,Сладости,mock
27,Выпечка,mock
28,Добавки,mock
29,Украшения,mock
30,Лед,mock
31,Крепкий алкоголь,mock
